Company,Days Since Last Feedback,Current Lead Status,Last Contact Date,Optimal Outreach Window,Recommended Action
The Spotted Cougar,243,Negotiation,2024-04-16,2024-12-12,Proactive outreach needed
The White Rabbit,221,Proposal Sent,2024-04-04,2024-12-12,Proactive outreach needed
The White Swan,225,New,2024-01-10,2024-12-12,Proactive outreach needed
Titania,220,Disqualified,2024-02-12,2024-12-12,Proactive outreach needed
Total Network Development,224,New,2024-02-28,2024-12-12,Proactive outreach needed
Total Quality,218,Contacted,2024-01-24,2024-12-12,Proactive outreach needed
Total Serve,221,Referral,2024-04-04,2024-12-12,Proactive outreach needed
Total Sources,219,Negotiation,2024-01-02,2024-12-12,Proactive outreach needed
Total Yard Maintenance,223,New,2024-04-08,2024-12-12,Proactive outreach needed
Total Yard Management,218,Referral,2024-01-19,2024-12-12,Proactive outreach needed
Universal Design Partners,219,Qualified,2024-04-26,2024-12-12,Proactive outreach needed
Universo Realtors,221,Contacted,2024-01-26,2024-12-12,Proactive outreach needed
Vari-Tec,225,Warm ,2024-04-12,2024-12-12,Proactive outreach needed
Veramons,218,Warm ,2024-04-13,2024-12-12,Proactive outreach needed
Vibrant Man,220,Qualified,2024-01-04,2024-12-12,Proactive outreach needed
Vitagee,221,Cold,2024-05-01,2024-12-12,Proactive outreach needed
VitaGrey,218,Nurturing,2024-04-10,2024-12-12,Proactive outreach needed
Vitamax Health Food Center,226,Closed-Lost,2024-01-06,2024-12-12,Proactive outreach needed
Wealth Zone Group,233,Warm ,2024-04-08,2024-12-12,Proactive outreach needed
Wealthy Ideas,219,On-hold,2024-04-23,2024-12-12,Proactive outreach needed
Webcom Business Services,223,Contacted,2024-04-21,2024-12-12,Proactive outreach needed
Wise Appraisals,223,Closed-Lost,2024-02-23,2024-12-12,Proactive outreach needed
Wise Solutions,223,Warm ,2024-04-21,2024-12-12,Proactive outreach needed
World of Fun,228,In Progress,2024-04-05,2024-12-12,Proactive outreach needed
WWW Realty,219,Reengaged,2024-02-25,2024-12-12,Proactive outreach needed
Xray Eye & Vision Clinics,236,Cold,2024-01-11,2024-12-12,Proactive outreach needed
Zephyr Investments,219,Closed-Won,2024-03-28,2024-12-12,Proactive outreach needed
Zig Zag Children Clothes,223,New,2024-02-18,2024-12-12,Proactive outreach needed
a21,220,Reengaged,2024-03-23,2024-12-12,Proactive outreach needed
"Aaron's, Inc.",220,Reengaged,2024-01-24,2024-12-12,Proactive outreach needed
Abbott Laboratories,218,Contacted,2024-04-07,2024-12-12,Proactive outreach needed
Abercrombie & Fitch,222,Closed-Won,2024-04-15,2024-12-12,Proactive outreach needed
ABM Industries,220,Contacted,2024-02-11,2024-12-12,Proactive outreach needed
ABX Air,220,Contacted,2024-01-08,2024-12-12,Proactive outreach needed
AC Lens,226,Proposal Sent,2024-03-27,2024-12-12,Proactive outreach needed
ACCO Brands,218,Warm ,2024-02-14,2024-12-12,Proactive outreach needed
Accuquote,223,Disqualified,2024-03-18,2024-12-12,Proactive outreach needed
Ace Hardware,218,Nurturing,2024-04-11,2024-12-12,Proactive outreach needed
Acme Brick Company,218,In Progress,2024-01-26,2024-12-12,Proactive outreach needed
ACN Inc.,222,Disqualified,2024-04-29,2024-12-12,Proactive outreach needed
Activision Blizzard,231,Disqualified,2024-02-20,2024-12-12,Proactive outreach needed
Acuity Brands,227,New,2024-02-13,2024-12-12,Proactive outreach needed
ADC Telecommunications,222,Negotiation,2024-04-19,2024-12-12,Proactive outreach needed
Adaptec,221,On-hold,2024-04-25,2024-12-12,Proactive outreach needed
Adobe Systems Inc.,224,Contacted,2024-02-20,2024-12-12,Proactive outreach needed
Advance Auto Parts,223,Nurturing,2024-02-23,2024-12-12,Proactive outreach needed
Advanced Micro Devices,218,On-hold,2024-04-13,2024-12-12,Proactive outreach needed
Advanced Processing & Imaging,226,Proposal Sent,2024-03-29,2024-12-12,Proactive outreach needed
AECOM,227,Nurturing,2024-01-27,2024-12-12,Proactive outreach needed
Aéropostale,225,Proposal Sent,2024-03-05,2024-12-12,Proactive outreach needed
AES Corporation,219,Negotiation,2024-02-27,2024-12-12,Proactive outreach needed
Aetna,220,In Progress,2024-02-24,2024-12-12,Proactive outreach needed
Affiliated Computer Services,218,Proposal Sent,2024-01-29,2024-12-12,Proactive outreach needed
Aflac,225,Disqualified,2024-03-19,2024-12-12,Proactive outreach needed
AGCO,221,Closed-Lost,2024-03-10,2024-12-12,Proactive outreach needed
Agilent Technologies,219,Qualified,2024-03-18,2024-12-12,Proactive outreach needed
AGL Resources,219,Closed-Lost,2024-01-18,2024-12-12,Proactive outreach needed
Agriprocessors,220,In Progress,2024-03-15,2024-12-12,Proactive outreach needed
Air Products & Chemicals,219,New,2024-02-17,2024-12-12,Proactive outreach needed
Airgas,224,Contacted,2024-03-29,2024-12-12,Proactive outreach needed
AirTran Holdings,219,Reengaged,2024-04-15,2024-12-12,Proactive outreach needed
AK Steel Holding,228,Cold,2024-04-29,2024-12-12,Proactive outreach needed
Albemarle Corporation,219,In Progress,2024-04-29,2024-12-12,Proactive outreach needed
Albertsons LLC,223,Closed-Lost,2024-02-16,2024-12-12,Proactive outreach needed
Alcoa,218,Cold,2024-04-28,2024-12-12,Proactive outreach needed
Aleris International,221,Closed-Won,2024-03-20,2024-12-12,Proactive outreach needed
Alexander & Baldwin,224,Disqualified,2024-03-04,2024-12-12,Proactive outreach needed
Alienware,223,Closed-Lost,2024-01-27,2024-12-12,Proactive outreach needed
Allegheny Energy,218,Contacted,2024-02-08,2024-12-12,Proactive outreach needed
Allegheny Technologies,220,Reengaged,2024-02-13,2024-12-12,Proactive outreach needed
Allen Organ Company,224,Negotiation,2024-04-04,2024-12-12,Proactive outreach needed
Allergan,220,In Progress,2024-05-01,2024-12-12,Proactive outreach needed
Alliant Energy,218,New,2024-04-16,2024-12-12,Proactive outreach needed
Alliant Techsystems,221,Proposal Sent,2024-03-03,2024-12-12,Proactive outreach needed
Allstate,219,Contacted,2024-02-17,2024-12-12,Proactive outreach needed
Aloha Airlines,231,Closed-Lost,2024-04-18,2024-12-12,Proactive outreach needed
Altec Lansing,219,Qualified,2024-03-09,2024-12-12,Proactive outreach needed
Altria Group (formerly Philip Morris Companies),218,In Progress,2024-03-30,2024-12-12,Proactive outreach needed
Always (product),219,Closed-Won,2024-04-12,2024-12-12,Proactive outreach needed
Amazon.com,229,Warm ,2024-02-13,2024-12-12,Proactive outreach needed
AMC Entertainment,218,Nurturing,2024-04-30,2024-12-12,Proactive outreach needed
Ameren,220,In Progress,2024-01-18,2024-12-12,Proactive outreach needed
America Online,218,New,2024-01-30,2024-12-12,Proactive outreach needed
American Axle,220,Warm ,2024-01-28,2024-12-12,Proactive outreach needed
American Apparel,221,Qualified,2024-01-28,2024-12-12,Proactive outreach needed
American Broadcasting Company,224,Reengaged,2024-04-25,2024-12-12,Proactive outreach needed
American Eagle Outfitters,221,Disqualified,2024-03-31,2024-12-12,Proactive outreach needed
American Electric Power,234,Proposal Sent,2024-03-17,2024-12-12,Proactive outreach needed
American Express,224,Proposal Sent,2024-01-31,2024-12-12,Proactive outreach needed
American Family Insurance,222,Nurturing,2024-04-29,2024-12-12,Proactive outreach needed
American Financial Group,218,Negotiation,2024-03-27,2024-12-12,Proactive outreach needed
American Greetings,220,In Progress,2024-02-18,2024-12-12,Proactive outreach needed
American Home Mortgage,220,Nurturing,2024-01-07,2024-12-12,Proactive outreach needed
American International Group,218,Closed-Lost,2024-02-01,2024-12-12,Proactive outreach needed
American Reprographics Company,225,In Progress,2024-04-30,2024-12-12,Proactive outreach needed
Amerigroup,221,Nurturing,2024-02-05,2024-12-12,Proactive outreach needed
Ameriprise Financial,220,In Progress,2024-02-08,2024-12-12,Proactive outreach needed
AmerisourceBergen,219,Closed-Won,2024-03-24,2024-12-12,Proactive outreach needed
AMETEK,219,In Progress,2024-03-21,2024-12-12,Proactive outreach needed
Amgen,223,Negotiation,2024-02-10,2024-12-12,Proactive outreach needed
Amkor Technology,218,Closed-Lost,2024-04-17,2024-12-12,Proactive outreach needed
Amphenol Corporation,220,Reengaged,2024-03-30,2024-12-12,Proactive outreach needed
AMR Corporation,232,Closed-Won,2024-02-28,2024-12-12,Proactive outreach needed
American Airlines,220,Qualified,2024-04-24,2024-12-12,Proactive outreach needed
Amtrak (National Railroad Passenger Corporation),222,Disqualified,2024-03-17,2024-12-12,Proactive outreach needed
Amy's Kitchen,223,Proposal Sent,2024-03-16,2024-12-12,Proactive outreach needed
Anadarko Petroleum Corporation,244,Closed-Lost,2024-04-05,2024-12-12,Proactive outreach needed
Analog Devices,220,In Progress,2024-03-09,2024-12-12,Proactive outreach needed
AnaSpec,218,Qualified,2024-02-01,2024-12-12,Proactive outreach needed
Anchor Bay Entertainment,234,Negotiation,2024-01-15,2024-12-12,Proactive outreach needed
AND1,220,On-hold,2024-03-31,2024-12-12,Proactive outreach needed
Anixter International,220,Closed-Won,2024-01-04,2024-12-12,Proactive outreach needed
Ann Taylor,220,Cold,2024-03-31,2024-12-12,Proactive outreach needed
Antec,222,Qualified,2024-02-06,2024-12-12,Proactive outreach needed
AOL,223,On-hold,2024-04-18,2024-12-12,Proactive outreach needed
Aon Corporation,219,New,2024-02-13,2024-12-12,Proactive outreach needed
Apache Software Foundation,223,Closed-Lost,2024-01-22,2024-12-12,Proactive outreach needed
Apollo Group,219,New,2024-04-01,2024-12-12,Proactive outreach needed
Applebee's,219,Closed-Won,2024-03-06,2024-12-12,Proactive outreach needed
Apple Inc.,224,Closed-Won,2024-01-20,2024-12-12,Proactive outreach needed
Applied Biosystems,233,Disqualified,2024-02-15,2024-12-12,Proactive outreach needed
Applied Industrial Technologies,220,Warm ,2024-04-15,2024-12-12,Proactive outreach needed
Applied Materials,219,Closed-Won,2024-03-29,2024-12-12,Proactive outreach needed
Aramark,218,On-hold,2024-04-30,2024-12-12,Proactive outreach needed
Arbitron,222,Nurturing,2024-02-21,2024-12-12,Proactive outreach needed
Arch Coal,222,Referral,2024-01-26,2024-12-12,Proactive outreach needed
Archer Daniels Midland,222,New,2024-01-27,2024-12-12,Proactive outreach needed
Arctic Cat,221,Nurturing,2024-05-01,2024-12-12,Proactive outreach needed
Ariba,218,Qualified,2024-01-08,2024-12-12,Proactive outreach needed
Arizona Stock Exchange,223,Referral,2024-03-29,2024-12-12,Proactive outreach needed
Arkeia Software,229,Proposal Sent,2024-04-29,2024-12-12,Proactive outreach needed
Armstrong World Industries,218,Cold,2024-04-14,2024-12-12,Proactive outreach needed
Arrow Electronics,222,Closed-Won,2024-01-05,2024-12-12,Proactive outreach needed
Arryx,219,Nurturing,2024-03-21,2024-12-12,Proactive outreach needed
ArvinMeritor,220,New,2024-03-25,2024-12-12,Proactive outreach needed
ASARCO (American Smelting And Refining Company),218,Closed-Won,2024-03-25,2024-12-12,Proactive outreach needed
Asbury Automotive Group,219,Nurturing,2024-03-27,2024-12-12,Proactive outreach needed
Ashland Inc.,223,Nurturing,2024-01-18,2024-12-12,Proactive outreach needed
AskMeNow,218,Qualified,2024-03-31,2024-12-12,Proactive outreach needed
Aspyr Media,218,Contacted,2024-04-04,2024-12-12,Proactive outreach needed
Assurant,218,Proposal Sent,2024-01-16,2024-12-12,Proactive outreach needed
Atmos Energy,219,Closed-Lost,2024-02-15,2024-12-12,Proactive outreach needed
AT&T,218,On-hold,2024-02-06,2024-12-12,Proactive outreach needed
Audiovox,218,New,2024-01-13,2024-12-12,Proactive outreach needed
Atari,221,Qualified,2024-03-11,2024-12-12,Proactive outreach needed
Autodesk,224,Referral,2024-03-09,2024-12-12,Proactive outreach needed
Autoliv,218,Closed-Won,2024-01-04,2024-12-12,Proactive outreach needed
Automatic Data Processing,218,New,2024-03-30,2024-12-12,Proactive outreach needed
AutoNation,218,Closed-Lost,2024-03-31,2024-12-12,Proactive outreach needed
Auto-Owners Insurance,218,Qualified,2024-03-24,2024-12-12,Proactive outreach needed
AutoZone,220,Contacted,2024-02-16,2024-12-12,Proactive outreach needed
Avaya,220,Closed-Won,2024-02-11,2024-12-12,Proactive outreach needed
Avery Dennison,222,Negotiation,2024-03-03,2024-12-12,Proactive outreach needed
Avis Budget Group,221,Referral,2024-04-20,2024-12-12,Proactive outreach needed
Avnet,221,Reengaged,2024-01-16,2024-12-12,Proactive outreach needed
Avon Products,223,Nurturing,2024-01-06,2024-12-12,Proactive outreach needed
AVST,220,Nurturing,2024-03-17,2024-12-12,Proactive outreach needed
Babcock and Wilcox,220,Closed-Won,2024-03-05,2024-12-12,Proactive outreach needed
Bain & Company,219,On-hold,2024-02-27,2024-12-12,Proactive outreach needed
Bain Capital,219,Reengaged,2024-03-23,2024-12-12,Proactive outreach needed
Baker Hughes,218,Qualified,2024-02-05,2024-12-12,Proactive outreach needed
Baldor Electric Company,251,Reengaged,2024-02-06,2024-12-12,Proactive outreach needed
Ball Corp.,220,Contacted,2024-04-17,2024-12-12,Proactive outreach needed
Bank of America,219,Referral,2024-03-23,2024-12-12,Proactive outreach needed
Bank of New York Mellon,218,Warm ,2024-01-08,2024-12-12,Proactive outreach needed
Barnes & Noble,220,Qualified,2024-01-18,2024-12-12,Proactive outreach needed
Bath & Body Works,218,Reengaged,2024-02-01,2024-12-12,Proactive outreach needed
Baxter International,222,Reengaged,2024-03-22,2024-12-12,Proactive outreach needed
Bebo,222,Nurturing,2024-03-01,2024-12-12,Proactive outreach needed
BB&T Corporation,218,Closed-Won,2024-04-03,2024-12-12,Proactive outreach needed
B/E Aerospace,218,Reengaged,2024-01-30,2024-12-12,Proactive outreach needed
Bealls,225,Negotiation,2024-01-14,2024-12-12,Proactive outreach needed
BearingPoint,220,Contacted,2024-01-10,2024-12-12,Proactive outreach needed
Beazer Homes USA,218,Negotiation,2024-04-08,2024-12-12,Proactive outreach needed
Bechtel,220,Closed-Lost,2024-04-08,2024-12-12,Proactive outreach needed
Beckman Coulter,224,In Progress,2024-01-11,2024-12-12,Proactive outreach needed
Becton Dickinson,220,Nurturing,2024-02-03,2024-12-12,Proactive outreach needed
Bed Bath & Beyond,228,Nurturing,2024-04-14,2024-12-12,Proactive outreach needed
Belk,218,Proposal Sent,2024-03-10,2024-12-12,Proactive outreach needed
Belkin,221,Closed-Lost,2024-01-15,2024-12-12,Proactive outreach needed
Bellwether Technology Corporation,223,Reengaged,2024-03-30,2024-12-12,Proactive outreach needed
Bemis Manufacturing Company,223,Negotiation,2024-02-24,2024-12-12,Proactive outreach needed
Benchmark Electronics,225,New,2024-03-26,2024-12-12,Proactive outreach needed
W. R. Berkley,223,Closed-Lost,2024-01-02,2024-12-12,Proactive outreach needed
Berkshire Hathaway,219,Negotiation,2024-04-15,2024-12-12,Proactive outreach needed
Berry Plastics,221,Reengaged,2024-02-23,2024-12-12,Proactive outreach needed
Best Buy,219,In Progress,2024-03-15,2024-12-12,Proactive outreach needed
BFG Technologies,218,On-hold,2024-02-01,2024-12-12,Proactive outreach needed
Big Lots,221,Referral,2024-02-14,2024-12-12,Proactive outreach needed
Biggby Coffee,218,Qualified,2024-03-14,2024-12-12,Proactive outreach needed
Bio-Rad Laboratories,219,Warm ,2024-01-11,2024-12-12,Proactive outreach needed
Biomet,230,New,2024-01-22,2024-12-12,Proactive outreach needed
Birdwell,223,Nurturing,2024-04-01,2024-12-12,Proactive outreach needed
BJ Services Company,219,Reengaged,2024-04-20,2024-12-12,Proactive outreach needed
BJ's Wholesale Club,223,Closed-Lost,2024-01-13,2024-12-12,Proactive outreach needed
Black & Decker,219,Qualified,2024-01-02,2024-12-12,Proactive outreach needed
BlackRock,225,Warm ,2024-04-06,2024-12-12,Proactive outreach needed
Blockbuster Inc.,221,Proposal Sent,2024-01-19,2024-12-12,Proactive outreach needed
BlueLinx Holdings,225,Closed-Won,2024-03-29,2024-12-12,Proactive outreach needed
"Blyth, Inc.",218,Referral,2024-02-27,2024-12-12,Proactive outreach needed
BMC Software,219,Contacted,2024-04-19,2024-12-12,Proactive outreach needed
BNSF Railway,219,On-hold,2024-03-22,2024-12-12,Proactive outreach needed
Bob Evans Restaurants,221,Closed-Won,2024-02-26,2024-12-12,Proactive outreach needed
Boeing,223,Cold,2024-04-03,2024-12-12,Proactive outreach needed
Boise Cascade,222,On-hold,2024-01-09,2024-12-12,Proactive outreach needed
Borders Group,220,Warm ,2024-03-25,2024-12-12,Proactive outreach needed
BorgWarner,224,Proposal Sent,2024-03-15,2024-12-12,Proactive outreach needed
Bosch Brewing Company,223,Cold,2024-01-05,2024-12-12,Proactive outreach needed
Bose Corporation,224,New,2024-02-11,2024-12-12,Proactive outreach needed
Boston Acoustics,218,On-hold,2024-03-15,2024-12-12,Proactive outreach needed
Boston Scientific,221,New,2024-04-28,2024-12-12,Proactive outreach needed
Boyd Gaming,222,Reengaged,2024-01-23,2024-12-12,Proactive outreach needed
Bradley Pharmaceuticals,220,Referral,2024-01-28,2024-12-12,Proactive outreach needed
Briggs & Stratton,233,Proposal Sent,2024-02-28,2024-12-12,Proactive outreach needed
Brightpoint,222,Qualified,2024-04-03,2024-12-12,Proactive outreach needed
Brinks,221,On-hold,2024-03-08,2024-12-12,Proactive outreach needed
Brinker International,224,Negotiation,2024-01-10,2024-12-12,Proactive outreach needed
Bristol-Myers Squibb,222,Referral,2024-04-15,2024-12-12,Proactive outreach needed
Broadcom,226,New,2024-02-17,2024-12-12,Proactive outreach needed
Brookdale Senior Living,219,Disqualified,2024-03-13,2024-12-12,Proactive outreach needed
Brown-Forman Corporation,223,New,2024-04-29,2024-12-12,Proactive outreach needed
Brunswick Corporation,229,Closed-Lost,2024-02-07,2024-12-12,Proactive outreach needed
Bucyrus International,228,Nurturing,2024-01-19,2024-12-12,Proactive outreach needed
Burger King Holdings,226,Contacted,2024-03-07,2024-12-12,Proactive outreach needed
Burlington Coat Factory,218,Negotiation,2024-01-16,2024-12-12,Proactive outreach needed
Bushmaster Firearms International,219,Closed-Lost,2024-01-27,2024-12-12,Proactive outreach needed
